msm_id,target_anchor_prb_id,is_mesh,msm_type,af,succeed_count,fail_count,succeed_ratio
10339634,6318,False,http,4,16,47,0.25396825396825395
10339616,6318,True,http,4,142,721,0.1645422943221321
10339633,6318,False,ping,4,16,47,0.25396825396825395
10339615,6318,True,ping,4,143,720,0.1657010428736964
10339632,6318,False,traceroute,4,17,46,0.2698412698412698
10339614,6318,True,traceroute,4,143,720,0.1657010428736964
15698386,6386,False,http,4,135,0,1.0
15698371,6386,True,http,4,696,6,0.9914529914529915
15698389,6386,False,http,6,69,3,0.9583333333333334
15698374,6386,True,http,6,599,49,0.9243827160493827
15698385,6386,False,ping,4,132,2,0.9850746268656716
15698370,6386,True,ping,4,697,5,0.9928774928774928
15698388,6386,False,ping,6,69,3,0.9583333333333334
15698373,6386,True,ping,6,600,48,0.9259259259259259
15698384,6386,False,traceroute,4,134,1,0.9925925925925926
15698369,6386,True,traceroute,4,697,5,0.9928774928774928
15698387,6386,False,traceroute,6,69,3,0.9583333333333334
15698372,6386,True,traceroute,6,600,48,0.9259259259259259
88535052,6582,True,http,4,162,709,0.1859931113662457
88535051,6582,True,ping,4,165,706,0.1894374282433984
88535050,6582,True,traceroute,4,165,706,0.1894374282433984
22526255,6591,False,ping,4,150,6,0.9615384615384616
22525754,6591,True,ping,4,818,45,0.947856315179606
22526254,6591,False,traceroute,4,150,6,0.9615384615384616
22525753,6591,True,traceroute,4,817,46,0.9466975666280417
22561786,6595,False,ping,4,34,122,0.21794871794871795
22559420,6595,True,ping,4,97,556,0.14854517611026033
22561785,6595,False,traceroute,4,31,126,0.19745222929936307
22559419,6595,True,traceroute,4,95,558,0.14548238897396631
23132842,6637,False,http,4,10,266,0.036231884057971016
23130460,6637,True,http,4,5,862,0.0057670126874279125
23132841,6637,False,ping,4,10,267,0.036101083032490974
23130459,6637,True,ping,4,6,861,0.006920415224913495
23132840,6637,False,traceroute,4,10,267,0.036101083032490974
23130458,6637,True,traceroute,4,6,861,0.006920415224913495
23188924,6654,False,ping,4,177,4,0.9779005524861878
23184706,6654,True,ping,4,647,28,0.9585185185185185
23188923,6654,False,traceroute,4,180,2,0.989010989010989
23184705,6654,True,traceroute,4,670,5,0.9925925925925926
23961251,6738,False,ping,4,191,2,0.9896373056994818
23960714,6738,True,ping,4,648,8,0.9878048780487805
23961250,6738,False,traceroute,4,190,3,0.9844559585492227
23960713,6738,True,traceroute,4,651,5,0.9923780487804879
24638819,6765,False,ping,4,192,2,0.9896907216494846
24635474,6765,True,ping,4,648,6,0.9908256880733946
24638823,6765,False,ping,6,115,18,0.8646616541353384
24635477,6765,True,ping,6,568,37,0.9388429752066115
24638818,6765,False,traceroute,4,192,2,0.9896907216494846
24635473,6765,True,traceroute,4,648,6,0.9908256880733946
24638822,6765,False,traceroute,6,114,19,0.8571428571428571
24635476,6765,True,traceroute,6,568,37,0.9388429752066115
29789737,6946,False,ping,4,3,167,0.01764705882352941
29789742,6946,False,ping,6,107,9,0.9224137931034483
